都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,説明,バリアフリー情報,ＵＲＬ,備考
270008,,大阪府,,味舌ポンプ場,,,,摂津市正雀 4丁目15番10号,,34.773552,135.556279,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大井水みらいセンター,,,,藤井寺市西大井1丁目407番1号,,34.579032,135.603342,,,,,,,,,,,,耐震性能A
270008,,大阪府,,鴻池水みらいセンター,,,,東大阪市北鴻池町1-18,,34.702619,135.594024,,,,,,,,,,,,耐震性能A
270008,,大阪府,,寺島ポンプ場,,,,東大阪市西鴻池町4丁目2番20号,,34.6995693,135.5904245,,,,,,,,,,,,耐震性能A
270008,,大阪府,,小阪ポンプ場,,,,東大阪市若江西新町1丁目11番21号,,34.66109,135.596496,,,,,,,,,,,,耐震性能A
270008,,大阪府,,植付ポンプ場,,,,東大阪市中石切町7丁目2番18号,,34.6863602,135.6351396,,,,,,,,,,,,耐震性能A
270008,,大阪府,,新池島ポンプ場,,,,東大阪市新池島町4丁目3番35号,,34.661529,135.626623,,,,,,,,,,,,耐震性能A
270008,,大阪府,,川俣ポンプ場,,,,東大阪市川俣3丁目4番37号,,34.6812629,135.5789672,,,,,,,,,,,,耐震性能A
270008,,大阪府,,川俣水みらいセンター,,,,東大阪市川俣2丁目1番1号,,34.682825,135.575481,,,,,,,,,,,,耐震性能A
270008,,大阪府,,南部水みらいセンター,,,,泉南市りんくう南浜1番,,34.377206,135.256193,,,,,,,,,,,,耐震性能A
270008,,大阪府,,狭山水みらいセンター,,,,大阪狭山市東池尻6丁目1647,,34.516087,135.5635,,,,,,,,,,,,耐震性能A
270008,,大阪府,,北部水みらいセンター,,,,忠岡町新浜3丁目,,34.502271,135.374095,,,,,,,,,,,,耐震性能A
270008,,大阪府,,原田水みらいセンター,,,,豊中市原田西町1-1,,34.769943,135.448873,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府南部流域下水道事務所,,,,貝塚市港25,,34.451783,135.355167,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府教育センター,,,,大阪市住吉区苅田4丁目13-23,,34.601854,135.5196126,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府警察本部,,,,大阪市中央区大手前3丁目1番11号,,34.6839529,135.5200054,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府警察本部 新北島別館,,,,大阪市住之江区新北島3丁目1番28号,,34.608491,135.468783,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府警察本部 中崎町別館,,,,大阪市北区中崎2丁目4番38号,,34.7088834,135.5061644,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府曽根崎警察署,,,,大阪市北区曽根崎2丁目16番14号,,34.7016674,135.4997734,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府大淀警察署,,,,大阪市北区中津1丁目5番25号,,34.7101468,135.4956265,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府都島警察署,,,,大阪市都島区都島北通1丁目7番1号,,34.7094644,135.5295181,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府此花警察署,,,,大阪市此花区春日出北1丁目3番1号,,34.6817044,135.4507784,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府南警察署 第一別館,,,,大阪市中央区南船場1丁目10番14号,,34.6751148,135.508454,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府東警察署,,,,大阪市中央区本町1丁目3番18号,,34.6832556,135.5089203,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府南警察署,,,,大阪市中央区東心斎橋1丁目5番26,,34.6723901,135.5055349,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府警察第一方面機動警ら隊,,,,大阪市西区立売堀2丁目5番30号,,34.6791087,135.4908915,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府西警察署,,,,大阪市西区川口2丁目6番3号,,34.681947,135.4811784,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府港警察署,,,,大阪市港区市岡1丁目6番22号,,34.6633792,135.4624973,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府大阪水上警察署,,,,大阪市港区海岸通1丁目5番1号,,34.6527156,135.4291729,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府大正警察署,,,,大阪市大正区小林東3丁目4番21,,34.6471259,135.471547,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府天王寺警察署,,,,大阪市天王寺区六万体町5番8号,,34.6575807,135.5151205,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府浪速警察署,,,,大阪市浪速区日本橋5丁目5番11号,,34.654756,135.5059131,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府西淀川警察署,,,,大阪市西淀川区千舟2丁目6番24号,,34.7115565,135.4533192,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府淀川警察署,,,,大阪市淀川区十三本町3丁目7番27号,,34.7232032,135.4814917,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府東淀川警察署,,,,大阪市東淀川区豊新1丁目6番18号,,34.7417136,135.5339034,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府東成警察署,,,,大阪市東成区大今里西1丁目25番15号,,34.6712658,135.5422955,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府生野警察署,,,,大阪市生野区勝山北3丁目14番12号,,34.6545037,135.5344467,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府旭警察署,,,,大阪市旭区中宮1丁目4番1号,,34.7224548,135.5388617,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府警察本部関目別館,,,,大阪市城東区関目6丁目15番4号,,34.7132309,135.5532386,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府警察本部森之宮別館,,,,大阪市城東区森之宮1丁目6番102号,,34.6820617,135.5357626,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府鶴見警察署,,,,大阪市鶴見区諸口6丁目1番1号,,34.7040961,135.5748398,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府阿倍野警察署,,,,大阪市阿倍野区阿倍野筋5丁目13番5号,,34.6379219,135.510116,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府住之江警察署,,,,大阪市住之江区新北島3丁目1番57号,,34.6091415,135.4690067,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府住吉警察署,,,,大阪市住吉区東粉浜3丁目28番3号,,34.6150997,135.4916989,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府平野警察署,,,,大阪市平野区喜連西6丁目2－51,,34.609865,135.548096,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府西成警察署,,,,大阪市西成区萩之茶屋2丁目4番2号,,34.6459626,135.5012777,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府北堺警察署,,,,堺市北区新金岡町1丁1番1号,,34.5658108,135.5137338,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府堺警察署,,,,堺市堺区市之町西1丁1番17号,,34.578839,135.4735374,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府西堺警察署,,,,堺市西区鳳東町4丁388番地,,34.5316773,135.4626503,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府南堺警察署,,,,堺市南区桃山台2丁2番1号,,34.4854049,135.4884183,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府岸和田警察署,,,,岸和田市作才町1057番地,,34.455733,135.384488,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府豊中南警察署,,,,豊中市庄内西町5丁目1番10号,,34.7452754,135.4757114,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府池田警察署,,,,池田市大和町1番1号,,34.8225106,135.4282244,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府吹田警察署,,,,吹田市穂波町13番33号,,34.7538643,135.5120328,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府泉大津警察署,,,,泉大津市田中町2番12号,,34.5043461,135.4068839,,,,,,,,,,,,耐震性能A
270008,,大阪府,,交通機動隊　高槻分駐所,,,,高槻市唐崎北3丁目29番1号,,34.8176505,135.6159776,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府高槻警察署,,,,高槻市野見町2番4号,,34.846228,135.6206935,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府貝塚警察署,,,,貝塚市海塚167番地,,34.4438247,135.359389,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府守口警察署,,,,守口市京阪本通2丁目2番10号,,34.7379591,135.5642647,,,,,,,,,,,,耐震性能A
270008,,大阪府,,交通機動隊　枚方分駐所,,,,枚方市北山1丁目3番20号,,34.841655,135.699123,,,,,,,,,,,,耐震性能A
